[2026-04-26T18:07:19.422209+00:00] [INFO] [reconciler-1] reconciler started pid=76271
[2026-04-26T18:07:19.431855+00:00] [WARN] [reconciler-1] PEER SILENT: orchestrator age=None
[2026-04-26T18:07:19.431919+00:00] [WARN] [reconciler-1] PEER SILENT: cowork-executor age=None
[2026-04-26T18:07:19.436355+00:00] [INFO] [reconciler-1] restart com.zeke.cowork-executor -> ok
[2026-04-26T18:07:19.440218+00:00] [INFO] [reconciler-1] restart com.zeke.cowork-preflight-watchdog -> ok
[2026-04-26T18:07:19.444173+00:00] [INFO] [reconciler-1] restart com.zeke.session-report-card -> ok
[2026-04-26T18:07:19.450689+00:00] [INFO] [reconciler-1] bootout com.zeke.spark-model-manager -> ok
[2026-04-26T18:07:19.454331+00:00] [INFO] [reconciler-1] bootout com.zeke.camel-yt-posts -> ok
[2026-04-26T18:07:19.457990+00:00] [INFO] [reconciler-1] bootout com.zeke.camel-twin -> ok
[2026-04-26T18:07:19.461465+00:00] [INFO] [reconciler-1] bootout com.zeke.openclaw-browser -> ok
[2026-04-26T18:07:19.464760+00:00] [INFO] [reconciler-1] bootout com.zeke.top-signal-weekly -> ok
[2026-04-26T18:07:19.468369+00:00] [INFO] [reconciler-1] bootout com.zeke.system-auditor -> ok
[2026-04-26T18:07:19.471698+00:00] [INFO] [reconciler-1] bootout com.zeke.model-release-monitor -> ok
[2026-04-26T18:07:19.475515+00:00] [INFO] [reconciler-1] bootout com.zeke.capability-scanner -> ok
[2026-04-26T18:07:19.479550+00:00] [INFO] [reconciler-1] bootout com.zeke.top-signal-daily -> ok
[2026-04-26T18:07:19.483863+00:00] [INFO] [reconciler-1] bootout com.zeke.memory-curator -> ok
[2026-04-26T18:07:19.489031+00:00] [INFO] [reconciler-1] bootout com.zeke.unified-api -> ok
[2026-04-26T18:07:19.492912+00:00] [INFO] [reconciler-1] bootout com.zeke.mcp-server -> ok
[2026-04-26T18:07:19.496520+00:00] [INFO] [reconciler-1] bootout com.zeke.briefing-prestage -> ok
[2026-04-26T18:07:19.500172+00:00] [INFO] [reconciler-1] bootout com.zeke.infra-scout -> ok
[2026-04-26T18:07:19.503909+00:00] [INFO] [reconciler-1] bootout com.zeke.bi-hourly-assessment -> ok
[2026-04-26T18:07:19.507241+00:00] [INFO] [reconciler-1] bootout com.zeke.backtest-results-aggregator -> ok
[2026-04-26T18:07:19.510371+00:00] [INFO] [reconciler-1] bootout com.zeke.members-video-extractor -> ok
[2026-04-26T18:07:19.513677+00:00] [INFO] [reconciler-1] bootout com.zeke.super-prewarm -> ok
[2026-04-26T18:07:19.517973+00:00] [INFO] [reconciler-1] bootout com.zeke.options-analytics -> ok
[2026-04-26T18:07:19.521357+00:00] [INFO] [reconciler-1] bootout com.zeke.option-quotes -> ok
[2026-04-26T18:07:19.524949+00:00] [INFO] [reconciler-1] bootout com.zeke.feed-guardian -> ok
[2026-04-26T18:07:19.528616+00:00] [INFO] [reconciler-1] bootout com.zeke.boot-recovery -> ok
